"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","category","letter","correct_response","correct_response_key","trial_counter","current_image","test_triplet","foil_triplet","correct","firstSequencePaths","secondSequencePaths"
"true","false","[]","[]","[]","preload","0","2.0.0","295","p20xng64d9m","p73","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","null","2604","p20xng64d9m","p73","1304","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","3347","p20xng64d9m","p73","741","Welcome to the experiment. Press any key to begin.","m","","","","","","","","","","",""
"","","","","","survey-text","3","2.0.0","21832","p20xng64d9m","p73","18478","","{""participant_id"":""p73""}","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","31974","p20xng64d9m","p73","10140","
  <p>For this trial, you will see a series of images.</p>
  <p><b>Press the spacebar whenever you see the same image appear twice in a row.</b></p>
  <p>In other words, whenever the same image repeats back to back, press the spacebar.</p>
  <p>Press any key to begin.</p>"," ","","","","","","","","","","",""
"","","","","","image-keyboard-response","5","2.0.0","32978","p20xng64d9m","p73","null","stimuli/desert_4.jpg","null","desert","J","non-repeat","null","0","stimuli/desert_4.jpg","","","","",""
"","","","","","image-keyboard-response","6","2.0.0","33982","p20xng64d9m","p73","null","stimuli/woods_26.jpg","null","woods","K","non-repeat","null","1","stimuli/woods_26.jpg","","","","",""
"","","","","","image-keyboard-response","7","2.0.0","34987","p20xng64d9m","p73","null","stimuli/bridge_48.jpg","null","bridge","L","non-repeat","null","2","stimuli/bridge_48.jpg","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","35991","p20xng64d9m","p73","null","stimuli/street_66.jpg","null","street","A","non-repeat","null","3","stimuli/street_66.jpg","","","","",""
"","","","","","image-keyboard-response","9","2.0.0","36995","p20xng64d9m","p73","null","stimuli/gym_67.jpg","null","gym","B","non-repeat","null","4","stimuli/gym_67.jpg","","","","",""
"","","","","","image-keyboard-response","10","2.0.0","37999","p20xng64d9m","p73","null","stimuli/kitchen_6.jpg","null","kitchen","C","non-repeat","null","5","stimuli/kitchen_6.jpg","","","","",""
"","","","","","image-keyboard-response","11","2.0.0","39003","p20xng64d9m","p73","559","stimuli/kitchen_6.jpg"," ","kitchen","C","repeat"," ","5","","","","","",""
"","","","","","image-keyboard-response","12","2.0.0","40006","p20xng64d9m","p73","null","stimuli/bathroom_36.jpg","null","bathroom","D","non-repeat","null","6","stimuli/bathroom_36.jpg","","","","",""
