"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","timeout","failed_images","failed_audio","failed_video","category","letter","correct_response","correct_response_key","trial_counter","current_image","test_triplet","foil_triplet","correct","firstSequencePaths","secondSequencePaths"
"true","6024","fullscreen","0","null","7054","pbtb0o7fkvk","camel","","","","","","","","","","","","","","","","",""
"","331","html-keyboard-response","1","2.0.0","7386","pbtb0o7fkvk","camel","Welcome to the experiment. Press any key to begin.","Shift","","","","","","","","","","","","","","",""
"","1421","survey-text","2","2.0.0","8841","pbtb0o7fkvk","camel","","{""participant_id"":""camel""}","","","","","","","","","","","","","","",""
"","1892","html-keyboard-response","3","2.0.0","10736","pbtb0o7fkvk","camel","
  <p>For this trial, you will see a series of images.</p>
  <p>Press the spacebar whenever you see a repeat of an image back to back.</p>
  <p>Press any key to begin.</p>"," ","","","","","","","","","","","","","","",""
"true","","preload","4","2.0.0","11489","pbtb0o7fkvk","camel","","","false","[]","[]","[]","","","","","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","12506","pbtb0o7fkvk","camel","stimuli/gym_24.jpg","null","","","","","gym","J","non-repeat","null","0","stimuli/gym_24.jpg","","","","",""
"","null","image-keyboard-response","6","2.0.0","13517","pbtb0o7fkvk","camel","stimuli/coast_64.jpg","null","","","","","coast","K","non-repeat","null","1","stimuli/coast_64.jpg","","","","",""
"","null","image-keyboard-response","7","2.0.0","14534","pbtb0o7fkvk","camel","stimuli/desert_63.jpg","null","","","","","desert","L","non-repeat","null","2","stimuli/desert_63.jpg","","","","",""
"","null","image-keyboard-response","8","2.0.0","15548","pbtb0o7fkvk","camel","stimuli/woods_42.jpg","null","","","","","woods","A","non-repeat","null","3","stimuli/woods_42.jpg","","","","",""
"","445","image-keyboard-response","9","2.0.0","16561","pbtb0o7fkvk","camel","stimuli/woods_42.jpg"," ","","","","","woods","A","repeat"," ","3","","","","","",""
"","null","image-keyboard-response","10","2.0.0","17575","pbtb0o7fkvk","camel","stimuli/bar_10.jpg","null","","","","","bar","B","non-repeat","null","4","stimuli/bar_10.jpg","","","","",""
"","null","image-keyboard-response","11","2.0.0","18592","pbtb0o7fkvk","camel","stimuli/bathroom_63.jpg","null","","","","","bathroom","C","non-repeat","null","5","stimuli/bathroom_63.jpg","","","","",""
"","null","image-keyboard-response","12","2.0.0","19597","pbtb0o7fkvk","camel","stimuli/gym_24.jpg","null","","","","","gym","J","non-repeat","null","6","stimuli/gym_24.jpg","","","","",""
"","null","image-keyboard-response","13","2.0.0","20600","pbtb0o7fkvk","camel","stimuli/coast_64.jpg","null","","","","","coast","K","non-repeat","null","7","stimuli/coast_64.jpg","","","","",""
"","null","image-keyboard-response","14","2.0.0","21606","pbtb0o7fkvk","camel","stimuli/desert_63.jpg","null","","","","","desert","L","non-repeat","null","8","stimuli/desert_63.jpg","","","","",""
"","null","image-keyboard-response","15","2.0.0","22609","pbtb0o7fkvk","camel","stimuli/woods_42.jpg","null","","","","","woods","A","non-repeat","null","9","stimuli/woods_42.jpg","","","","",""
"","null","image-keyboard-response","16","2.0.0","23616","pbtb0o7fkvk","camel","stimuli/bar_10.jpg","null","","","","","bar","B","non-repeat","null","10","stimuli/bar_10.jpg","","","","",""
"","null","image-keyboard-response","17","2.0.0","24626","pbtb0o7fkvk","camel","stimuli/bathroom_63.jpg","null","","","","","bathroom","C","non-repeat","null","11","stimuli/bathroom_63.jpg","","","","",""
"","693","image-keyboard-response","18","2.0.0","25637","pbtb0o7fkvk","camel","stimuli/bathroom_63.jpg"," ","","","","","bathroom","C","repeat"," ","11","","","","","",""
"","null","image-keyboard-response","19","2.0.0","26640","pbtb0o7fkvk","camel","stimuli/bridge_55.jpg","null","","","","","bridge","G","non-repeat","null","12","stimuli/bridge_55.jpg","","","","",""
"","412","image-keyboard-response","20","2.0.0","27657","pbtb0o7fkvk","camel","stimuli/bridge_55.jpg"," ","","","","","bridge","G","repeat"," ","12","","","","","",""
"","null","image-keyboard-response","21","2.0.0","28662","pbtb0o7fkvk","camel","stimuli/field_18.jpg","null","","","","","field","H","non-repeat","null","13","stimuli/field_18.jpg","","","","",""
"","null","image-keyboard-response","22","2.0.0","29667","pbtb0o7fkvk","camel","stimuli/playground_23.jpg","null","","","","","playground","I","non-repeat","null","14","stimuli/playground_23.jpg","","","","",""
"","null","image-keyboard-response","23","2.0.0","30673","pbtb0o7fkvk","camel","stimuli/woods_42.jpg","null","","","","","woods","A","non-repeat","null","15","stimuli/woods_42.jpg","","","","",""
"","498","image-keyboard-response","24","2.0.0","31679","pbtb0o7fkvk","camel","stimuli/woods_42.jpg"," ","","","","","woods","A","repeat"," ","15","","","","","",""
"","null","image-keyboard-response","25","2.0.0","32688","pbtb0o7fkvk","camel","stimuli/bar_10.jpg","null","","","","","bar","B","non-repeat","null","16","stimuli/bar_10.jpg","","","","",""
"","null","image-keyboard-response","26","2.0.0","33784","pbtb0o7fkvk","camel","stimuli/bathroom_63.jpg","null","","","","","bathroom","C","non-repeat","null","17","stimuli/bathroom_63.jpg","","","","",""
"","null","image-keyboard-response","27","2.0.0","34790","pbtb0o7fkvk","camel","stimuli/gym_24.jpg","null","","","","","gym","J","non-repeat","null","18","stimuli/gym_24.jpg","","","","",""
"","511","image-keyboard-response","28","2.0.0","35794","pbtb0o7fkvk","camel","stimuli/gym_24.jpg"," ","","","","","gym","J","repeat"," ","18","","","","","",""
"","null","image-keyboard-response","29","2.0.0","36797","pbtb0o7fkvk","camel","stimuli/coast_64.jpg","null","","","","","coast","K","non-repeat","null","19","stimuli/coast_64.jpg","","","","",""
"","null","image-keyboard-response","30","2.0.0","37805","pbtb0o7fkvk","camel","stimuli/desert_63.jpg","null","","","","","desert","L","non-repeat","null","20","stimuli/desert_63.jpg","","","","",""
"","391","image-keyboard-response","31","2.0.0","38806","pbtb0o7fkvk","camel","stimuli/desert_63.jpg"," ","","","","","desert","L","repeat"," ","20","","","","","",""
"","null","image-keyboard-response","32","2.0.0","39810","pbtb0o7fkvk","camel","stimuli/woods_42.jpg","null","","","","","woods","A","non-repeat","null","21","stimuli/woods_42.jpg","","","","",""
"","null","image-keyboard-response","33","2.0.0","40815","pbtb0o7fkvk","camel","stimuli/bar_10.jpg","null","","","","","bar","B","non-repeat","null","22","stimuli/bar_10.jpg","","","","",""
"","null","image-keyboard-response","34","2.0.0","41817","pbtb0o7fkvk","camel","stimuli/bathroom_63.jpg","null","","","","","bathroom","C","non-repeat","null","23","stimuli/bathroom_63.jpg","","","","",""
"","null","image-keyboard-response","35","2.0.0","42825","pbtb0o7fkvk","camel","stimuli/gym_24.jpg","null","","","","","gym","J","non-repeat","null","24","stimuli/gym_24.jpg","","","","",""
"","519","image-keyboard-response","36","2.0.0","43826","pbtb0o7fkvk","camel","stimuli/gym_24.jpg"," ","","","","","gym","J","repeat"," ","24","","","","","",""
"","null","image-keyboard-response","37","2.0.0","44841","pbtb0o7fkvk","camel","stimuli/coast_64.jpg","null","","","","","coast","K","non-repeat","null","25","stimuli/coast_64.jpg","","","","",""
"","null","image-keyboard-response","38","2.0.0","45846","pbtb0o7fkvk","camel","stimuli/desert_63.jpg","null","","","","","desert","L","non-repeat","null","26","stimuli/desert_63.jpg","","","","",""
