"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","category","letter","correct_response","correct_response_key","trial_counter","current_image","test_triplet","foil_triplet","correct","firstSequencePaths","secondSequencePaths"
"true","false","[]","[]","[]","preload","0","2.0.0","367","pwnth7f2j08","seal","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","null","2356","pwnth7f2j08","seal","986","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","3454","pwnth7f2j08","seal","1097","Welcome to the experiment. Press any key to begin."," ","","","","","","","","","","",""
"","","","","","survey-text","3","2.0.0","6592","pwnth7f2j08","seal","3136","","{""participant_id"":""seal""}","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","12459","pwnth7f2j08","seal","5866","
  <p>For this trial, you will see a series of images.</p>
  <p><b>Press the spacebar whenever you see the same image appear twice in a row.</b></p>
  <p>In other words, whenever the same image repeats back to back, press the spacebar.</p>
  <p>Press any key to begin.</p>"," ","","","","","","","","","","",""
"","","","","","image-keyboard-response","5","2.0.0","13462","pwnth7f2j08","seal","null","stimuli/desert_58.jpg","null","desert","J","non-repeat","null","0","stimuli/desert_58.jpg","","","","",""
"","","","","","image-keyboard-response","6","2.0.0","14465","pwnth7f2j08","seal","null","stimuli/playground_24.jpg","null","playground","K","non-repeat","null","1","stimuli/playground_24.jpg","","","","",""
"","","","","","image-keyboard-response","7","2.0.0","15467","pwnth7f2j08","seal","null","stimuli/street_13.jpg","null","street","L","non-repeat","null","2","stimuli/street_13.jpg","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","16469","pwnth7f2j08","seal","380","stimuli/street_13.jpg"," ","street","L","repeat"," ","2","","","","","",""
"","","","","","image-keyboard-response","9","2.0.0","17470","pwnth7f2j08","seal","null","stimuli/field_19.jpg","null","field","D","non-repeat","null","3","stimuli/field_19.jpg","","","","",""
"","","","","","image-keyboard-response","10","2.0.0","18471","pwnth7f2j08","seal","null","stimuli/woods_17.jpg","null","woods","E","non-repeat","null","4","stimuli/woods_17.jpg","","","","",""
"","","","","","image-keyboard-response","11","2.0.0","19474","pwnth7f2j08","seal","null","stimuli/bathroom_38.jpg","null","bathroom","F","non-repeat","null","5","stimuli/bathroom_38.jpg","","","","",""
"","","","","","image-keyboard-response","12","2.0.0","20476","pwnth7f2j08","seal","null","stimuli/coast_23.jpg","null","coast","A","non-repeat","null","6","stimuli/coast_23.jpg","","","","",""
"","","","","","image-keyboard-response","13","2.0.0","21477","pwnth7f2j08","seal","377","stimuli/coast_23.jpg"," ","coast","A","repeat"," ","6","","","","","",""
"","","","","","image-keyboard-response","14","2.0.0","22478","pwnth7f2j08","seal","null","stimuli/stream_36.jpg","null","stream","B","non-repeat","null","7","stimuli/stream_36.jpg","","","","",""
"","","","","","image-keyboard-response","15","2.0.0","23480","pwnth7f2j08","seal","null","stimuli/kitchen_23.jpg","null","kitchen","C","non-repeat","null","8","stimuli/kitchen_23.jpg","","","","",""
"","","","","","image-keyboard-response","16","2.0.0","24482","pwnth7f2j08","seal","null","stimuli/desert_58.jpg","null","desert","J","non-repeat","null","9","stimuli/desert_58.jpg","","","","",""
"","","","","","image-keyboard-response","17","2.0.0","25484","pwnth7f2j08","seal","null","stimuli/playground_24.jpg","null","playground","K","non-repeat","null","10","stimuli/playground_24.jpg","","","","",""
"","","","","","image-keyboard-response","18","2.0.0","26487","pwnth7f2j08","seal","null","stimuli/street_13.jpg","null","street","L","non-repeat","null","11","stimuli/street_13.jpg","","","","",""
"","","","","","image-keyboard-response","19","2.0.0","27488","pwnth7f2j08","seal","null","stimuli/coast_23.jpg","null","coast","A","non-repeat","null","12","stimuli/coast_23.jpg","","","","",""
"","","","","","image-keyboard-response","20","2.0.0","28490","pwnth7f2j08","seal","null","stimuli/stream_36.jpg","null","stream","B","non-repeat","null","13","stimuli/stream_36.jpg","","","","",""
"","","","","","image-keyboard-response","21","2.0.0","29493","pwnth7f2j08","seal","null","stimuli/kitchen_23.jpg","null","kitchen","C","non-repeat","null","14","stimuli/kitchen_23.jpg","","","","",""
"","","","","","image-keyboard-response","22","2.0.0","30496","pwnth7f2j08","seal","null","stimuli/field_19.jpg","null","field","D","non-repeat","null","15","stimuli/field_19.jpg","","","","",""
"","","","","","image-keyboard-response","23","2.0.0","31498","pwnth7f2j08","seal","394","stimuli/woods_17.jpg"," ","woods","E","non-repeat","null","16","stimuli/woods_17.jpg","","","","",""
"","","","","","image-keyboard-response","24","2.0.0","32500","pwnth7f2j08","seal","null","stimuli/bathroom_38.jpg","null","bathroom","F","non-repeat","null","17","stimuli/bathroom_38.jpg","","","","",""
